State Code ,State-Policy ,Abortion is 'Extremely Important' (%)
AK,4,41
AL,1,41
AR,1,46
AZ,2,39
CA,5,41
CO,4,40
CT,5,43
DC,4,52
DE,4,37
FL,4,42
GA,2,43
HI,5,36
IA,2,37
ID,1,42
IL,5,39
IN,1,36
KS,4,37
KY,1,43
LA,1,41
MA,4,40
MD,5,40
ME,4,47
MI,4,39
MN,5,39
MO,1,36
MS,1,34
MT,4,42
NC,2,45
ND,1,44
NE,2,34
NH,3,45
NJ,5,38
NM,3,39
NV,4,35
NY,5,40
OH,4,39
OK,1,41
OR,5,46
PA,2,34
RI,4,36
SC,2,38
SD,1,43
TN,1,39
TX,1,37
UT,2,43
VA,3,38
VT,5,46
WA,5,38
WI,2,38
WV,1,39
WY,2,33
